timestamp,acc_x,acc_y,acc_z,gyro_x,gyro_y,gyro_z,mag_x,mag_y,mag_z,external_e,external_n,true_e,true_n,true_heading,is_step
0.0000,0.09515231,-0.05617707,9.84051393,-0.00185160,0.00755598,0.01956442,1.02740651,-0.01028240,0.34752228,,,0.00000000,0.00000000,0.00000000,0
0.0100,0.01998437,0.09188235,9.83575800,-0.00253517,-0.00334794,0.01272925,1.05499763,-0.03805925,0.35161917,,,0.00000000,0.00000000,0.00000000,0
0.0200,0.01570557,-0.00179287,9.86033836,-0.00065835,0.00051287,0.01600143,1.04173667,-0.02876566,0.35276403,,,0.00000000,0.00000000,0.00000000,0
0.0300,0.02421726,-0.11912537,9.86907828,-0.00491155,-0.00159563,0.01590897,1.04973097,-0.01248664,0.36758642,,,0.00000000,0.00000000,0.00000000,0
0.0400,0.00451350,0.06329022,9.92224708,-0.00618712,-0.00128272,0.01259267,1.03285530,-0.05728106,0.35659004,,,0.00000000,0.00000000,0.00000000,0
0.0500,0.03806851,0.02347048,9.84281044,0.00629288,-0.00036509,0.01571416,0.99824847,-0.02016657,0.36406971,,,0.00000000,0.00000000,0.00000000,0
0.0600,0.12417011,-0.03043196,9.91667059,0.00191550,0.00527856,0.01878530,1.02208369,-0.02149779,0.34522848,,,0.00000000,0.00000000,0.00000000,0
0.0700,-0.06327146,-0.00226560,9.73494367,-0.00201531,-0.00167374,0.01878942,1.05854872,-0.04129593,0.34270776,,,0.00000000,0.00000000,0.00000000,0
0.0800,-0.12282632,-0.05435815,9.79800579,0.01022626,-0.00260675,0.01358718,1.03033568,-0.02653632,0.33970695,,,0.00000000,0.00000000,0.00000000,0
0.0900,0.05312422,0.14958053,9.80346215,0.00310320,-0.00042330,0.02579575,1.07308271,-0.03550461,0.38069224,,,0.00000000,0.00000000,0.00000000,0
0.1000,-0.00991549,-0.01356768,9.90944106,0.00480164,0.00015142,0.01616237,1.03577044,-0.03469296,0.34454224,,,0.00000000,0.00000000,0.00000000,0
0.1100,0.02588751,-0.04647443,9.92619704,-0.00792906,-0.00030636,0.01381027,1.02879785,-0.02359957,0.37256495,,,0.00000000,0.00000000,0.00000000,0
0.1200,0.08159261,-0.11269407,9.86366549,0.00103717,-0.00519042,0.01213572,1.04154291,-0.04314130,0.35809122,,,0.00000000,0.00000000,0.00000000,0
0.1300,0.04282295,-0.11435877,9.89078713,-0.00597421,-0.00156138,0.01114932,1.02835691,-0.06939523,0.35680617,,,0.00000000,0.00000000,0.00000000,0
0.1400,-0.02863652,0.04776534,9.88541967,0.00225501,0.00523705,0.01792157,1.01431867,-0.03932734,0.35574711,,,0.00000000,0.00000000,0.00000000,0
0.1500,0.04714452,-0.07728227,9.86051121,-0.00355090,0.00768307,0.00401305,1.03407213,-0.03388968,0.37769644,,,0.00000000,0.00000000,0.00000000,0
0.1600,-0.11981970,-0.12051260,9.89902718,0.00232495,0.00231466,0.01427358,1.05400992,-0.00776560,0.35809680,,,0.00000000,0.00000000,0.00000000,0
0.1700,-0.13028536,0.03772868,9.73031228,0.00391496,0.00259320,0.00968524,1.04329685,-0.00408654,0.34578542,,,0.00000000,0.00000000,0.00000000,0
0.1800,0.10053908,-0.09763976,9.93231929,-0.00353308,-0.00253506,0.01420697,1.04485228,-0.02807186,0.35927212,,,0.00000000,0.00000000,0.00000000,0
0.1900,0.05047610,-0.15294680,9.96993190,0.00026569,-0.00003159,0.01471960,1.04873391,-0.02827264,0.36685667,,,0.00000000,0.00000000,0.00000000,0
0.2000,0.15533657,-0.03526439,9.84808670,0.00000104,-0.00181044,0.00993513,1.02755767,-0.02275676,0.33966874,,,0.00000000,0.00000000,0.00000000,0
0.2100,0.02721064,-0.10801219,9.95788694,0.00323189,0.00224125,0.01114077,1.05574742,-0.01568362,0.35188017,,,0.00000000,0.00000000,0.00000000,0
0.2200,-0.00343135,-0.03409523,9.80653629,0.00188252,0.00147206,0.01961319,1.03245896,-0.03049606,0.36298957,,,0.00000000,0.00000000,0.00000000,0
0.2300,-0.01008585,-0.13221801,9.97056555,-0.00744186,-0.00491547,0.01277238,1.01774295,-0.04482981,0.36860760,,,0.00000000,0.00000000,0.00000000,0
