step_frequency,acc_variance,true_stride
1.73479505,0.20501383,0.71110330
1.55582012,0.38994282,0.69818636
1.14432445,0.52688125,0.67452294
1.33050615,0.43295261,0.65778296
1.24208711,0.55463203,0.66677208
1.11066841,0.56069268,0.67285382
1.43117841,0.14105694,0.65023457
1.76504025,0.56750693,0.77099957
1.40301074,0.39617270,0.66913184
1.54458647,0.09588742,0.71318315
1.47617271,0.24914800,0.67369700
1.49382179,0.51503743,0.73348200
1.37802980,0.11551463,0.64937825
1.14782876,0.59995884,0.67900362
1.84925894,0.49365865,0.80233762
1.19990903,0.26211161,0.63563859
1.32630939,0.13229721,0.64995611
1.22830074,0.55787620,0.65257266
1.61662518,0.23857877,0.71738633
1.72970771,0.35433104,0.74965901
1.10696928,0.16586205,0.61680181
1.53049693,0.58375702,0.69326035
1.13261454,0.57105536,0.66683858
1.77197106,0.47560804,0.76341071
1.34592447,0.30109928,0.64448793
1.65247273,0.51737068,0.73782825
1.56159384,0.17657833,0.70475822
1.76100534,0.28527709,0.76332474
1.47515537,0.34122003,0.73187761
1.28713020,0.11053931,0.61798860
1.70396332,0.25994841,0.71274221
1.33129149,0.50980873,0.68173083
1.34310640,0.52603883,0.72111818
1.16728971,0.55396864,0.67771611
1.23293646,0.44028899,0.64719112
1.33640447,0.27758716,0.67704343
1.79680668,0.55094357,0.78903193
1.79880307,0.47602197,0.78471987
1.33687581,0.53717420,0.70150465
1.13957709,0.44348009,0.63304434
1.25621884,0.17357596,0.62914583
1.54827822,0.60194985,0.78378309
1.10285140,0.28777095,0.61890134
1.48256119,0.25009894,0.70416017
1.40585532,0.61358375,0.69766624
1.52361709,0.29793029,0.67865674
1.15142462,0.25555576,0.59717746
1.79997730,0.35033435,0.77622112
1.78487787,0.28648314,0.76117033
1.14644091,0.48589529,0.66852805
1.79200447,0.15164407,0.75802739
1.39182779,0.16970289,0.65814307
1.12737128,0.32566880,0.61541879
1.70968890,0.59284735,0.75652011
1.58628470,0.45201202,0.73216303
1.28010883,0.26589857,0.66280531
1.11956473,0.49165232,0.66223454
1.34625633,0.55012835,0.71801088
1.14469389,0.60175254,0.65193454
1.59957518,0.42335625,0.73144959
1.55692194,0.19116978,0.64811119
1.49887309,0.35589475,0.69922673
1.29835280,0.45787941,0.70742042
1.29616304,0.13434052,0.63172203
1.32664715,0.20450032,0.67863608
1.26085263,0.14987311,0.68142967
1.12649034,0.11368317,0.65200211
1.39239441,0.26281703,0.68033920
1.07529820,0.36193169,0.62565860
1.42889577,0.57011027,0.73228751
1.35438794,0.52940789,0.71077456
1.70761168,0.51463676,0.76851923
1.79300444,0.50232774,0.78105135
1.57075976,0.56417877,0.75760314
1.46751829,0.30459361,0.71153392
1.11205082,0.32837774,0.63899087
1.43656147,0.28152957,0.68978022
1.24542559,0.17466894,0.65242593
1.13882012,0.25996861,0.64599525
1.53655054,0.50891319,0.74436428
1.29494240,0.30297896,0.65502024
1.79323945,0.32910502,0.73804664
1.10260786,0.37746920,0.63332904
1.50811574,0.50080712,0.66730467
1.58863004,0.51618996,0.72798483
1.54336414,0.51152669,0.71938390
1.79964881,0.47350657,0.79082528
1.84504280,0.27587933,0.73715121
1.30446517,0.46934113,0.65325017
1.18212400,0.44982653,0.66900472
1.55699711,0.58541009,0.75417011
1.49193863,0.15007372,0.65463441
1.47062227,0.11265228,0.67430578
1.63019349,0.40631421,0.73253957
1.22069974,0.17216044,0.61081759
1.37530803,0.47210667,0.67226190
1.47991949,0.24975267,0.67617107
1.50727756,0.43903487,0.71849979
1.75874324,0.29085705,0.75252951
1.64880444,0.35917242,0.76036076
1.25616632,0.55595381,0.68727085
1.47491399,0.48479696,0.69823061
1.62150819,0.42980039,0.70272667
1.81995864,0.31688003,0.74216587
1.66337392,0.53758886,0.75355897
1.57923927,0.09670343,0.68087030
1.72698660,0.51500408,0.73047049
1.19985303,0.48743975,0.70425809
1.45103358,0.22948774,0.71103228
1.08616944,0.27989554,0.62424658
1.56136754,0.43843430,0.71543539
1.40719592,0.08083683,0.63668761
1.18295443,0.55564684,0.69175426
1.49373358,0.08218132,0.66794715
1.39169942,0.40308039,0.71121779
1.40827535,0.09920113,0.66811073
1.56159798,0.15282495,0.67546188
1.27138483,0.10667714,0.63890217
1.51251934,0.27059015,0.70660892
1.64819879,0.34539920,0.73283016
1.80768592,0.41535982,0.77802764
1.18748774,0.54478671,0.65162443
1.21578644,0.30854251,0.64931956
1.47445485,0.24257877,0.68998384
1.20433468,0.07149671,0.62692428
1.53507218,0.11260501,0.67045422
1.75496357,0.13030435,0.76087552
1.41434950,0.55869178,0.73796642
1.46666683,0.57592762,0.71845872
1.71101777,0.20770962,0.74592876
1.78455993,0.44925126,0.77885832
1.74290131,0.47384352,0.77688603
1.42441183,0.09032284,0.69761384
1.25822269,0.33132701,0.66345571
1.26761307,0.48679359,0.65596927
1.28881430,0.52872292,0.72517119
1.41710595,0.45825323,0.70025491
1.73332048,0.34515879,0.76093720
1.06491986,0.26122435,0.59162831
1.84611551,0.17366616,0.77867558
1.20172067,0.09235875,0.60722862
1.18939025,0.24484290,0.61193928
1.36109321,0.58143103,0.67510160
1.40306054,0.48663806,0.69966642
1.26350410,0.40782475,0.70872877
1.48122866,0.19092485,0.66824493
1.43244802,0.20011075,0.68732126
1.56538390,0.44163434,0.73389033
1.57740093,0.21920530,0.74587526
1.81883557,0.28737749,0.78793293
1.79640972,0.39070918,0.75810293
1.41901013,0.38872144,0.68162535
1.77276860,0.13858955,0.71859013
1.26414771,0.54891032,0.67496483
